       1    3435    8735
       2    3428    8633
       3    3332    8765
       4    3335    8612
       5    3297    8573
       6    3245    8693
       7    3152    8658
       8    3052    8792
       9    3555   11375
      10    3558   11069
      11    3453   11244
      12    3376   11077
      13    3325   11394
      14    3315   11191
      15    3227   11052
      16    3611    9368
      17    3591    9203
      18    3591    9071
      19    3518    9378
      20    3466    9258
      21    3476    9111
      22    3386    9374
      23    3359    9270
      24    3373    9161
      25    4046   12327
      26    3976   12160
      27    4055   12019
      28    3642   12130
      29    3637   11983
      30    3396   11826
      31    3521   11655
      32    3810   10397
      33    3913   10773
      34    3964   10253
      35    4000   10436
      36    3748   10615
      37    4180    7324
      38    4165    7237
      39    4128    7222
      40    3956    7568
      41    3890    7547
      42    3038    8609
      43    3007    8290
      44    2883    8176
      45    2773    8159
      46    2636    8100
      47    2621    8016
      48    2455    8175
      49    3441    8507
      50    3430    8409
      51    3424    8316
      52    3304    8463
      53    3289    8331
      54    3288    8202
      55    3135    8464
      56    3135    8325
      57    3140    8191
      58    4811   11660
      59    4665   11656
      60    4628   11684
      61    4482   11529
      62    4346   11627
      63    4234   11578
      64    4280   11423
      65    4437   11351
      66    4383   11282
      67    4283   11176
      68    4171    8968
      69    4171    8832
      70    4048    9065
      71    4045    8930
      72    4055    8809
      73    3944    9000
      74    3919    8833
      75    3800    8936
      76    3800    8851
      77    4112    8696
      78    4107    8611
      79    4114    8521
      80    3987    8709
      81    3983    8605
      82    4003    8513
      83    3849    8717
      84    3866    8628
      85    3893    8531
      86    4301    9566
      87    4304    9348
      88    4288    9178
      89    4204    9515
      90    4208    9328
      91    4190    9122
      92    4110    9512
      93    4103    9356
      94    4108    9187
      95    3956   10075
      96    3954    9818
      97    3950    9586
      98    3873   10075
      99    3864    9818
     100    3856    9567
     101    3765   10075
     102    3761    9845
     103    3752    9595
     104    3707    8764
     105    3727    8586
     106    3819    8455
     107    3739    8336
     108    3245    9356
     109    3242    9259
     110    3242    9150
     111    3145    9322
     112    3122    9211
     113    3054    9056
     114    3027    9287
     115    2998    9154
     116    2973    9031
     117    4600    6923
     118    4463    6923
     119    4418    6923
     120    3819    7540
     121    3863    7593
     122    3843    7669
     123    3893    7668
     124    3914    7603
     125    3941    7681
     126    3970    7818
     127    3953    7923
     128    4237    7309
     129    4235    7192
     130    4186    7081
     131    4635    8825
     132    4615    8578
     133    4466    8539
     134    4481    8407
     135    4366    8595
     136    4366    8485
     137    4347    8336
     138    4242    8584
     139    4242    8472
     140    4242    8339
     141    4776    9603
     142    4759    9415
     143    4763    9200
     144    4570    9586
     145    4535    9443
     146    4606    9325
     147    4405    9561
     148    4396    9395
     149    4397    9232
     150    3404    9048
     151    3431    8963
     152    3450    8860
     153    3311    9066
     154    3291    8969
     155    3333    8871
     156    3172    9076
     157    3154    8981
     158    3174    8884
     159    3065    8901
     160    3974    9387
     161    3926    9169
     162    3834    9344
     163    3712    9345
     164    3734    9100
     165    3663    8987
     166    4726   11427
     167    4539   11218
     168    4823   11029
     169    4692   11042
     170    4555   10863
     171    4790   10575
     172    4600   10549
     173    4200   10300
     174    4226   10035
     175    4224    9739
     176    4117    9923
     177    4116    9713
     178    4070   10113
     179    4034    9914
     180    4033    9704
     181    4060   11855
     182    4050   11548
     183    3806   11623
     184    3648   11495
     185    4435    7166
     186    4320    7174
     187    4083    7458
     188    3984    7466
     189    3967    7423
     190    3611   10819
     191    3617   10565
     192    3540   10352
     193    3414   10677
     194    3371   10797
     195    3415   10575
     196    3324   10411
     197    3230   10719
     198    4223    7784
     199    4232    7507
     200    4384    7466
     201    4093    7304
     202    4252    7371
     203    4312    7500
     204    4421    7365
     205    4463    7487
     206    4313    7737
     207    4278    7703
     208    3549    8284
     209    3625    8115
     210    3620    7908
     211    3572    8014
     212    3520    8037
