11-01 ILLINOIS        NORTH WEST                    .1284 4171  8968    00000790
11-02 ILLINOIS        NORTH EAST                    .1169 4171  8832    00000800
11-03 ILLINOIS              WEST                    .0985 4048  9065    00000810
11-04 ILLINOIS              CENTRAL                 .1095 4045  8930    00000820
11-05 ILLINOIS              EAST                    .1013 4055  8809    00000830
11-06 ILLINOIS        WEST  SOUTHWEST               .1336 3944  9000    00000840
11-07 ILLINOIS        EAST  SOUTHEAST               .1331 3919  8833    00000850
11-08 ILLINOIS        SOUTH WEST                    .0960 3800  8936    00000860
11-09 ILLINOIS        SOUTH EAST                    .0827 3800  8851    00000870
12-00 INDIANA                 036189     102  036291                    00000880
12-01 INDIANA         NORTH WEST                    .1151 4112  8696    00000890
12-02 INDIANA         NORTH CENTRAL                 .1071 4107  8611    00000900
12-03 INDIANA         NORTH EAST                    .0987 4114  8521    00000910
12-04 INDIANA         WEST  CENTRAL                 .1144 3987  8709    00000920
12-05 INDIANA               CENTRAL                 .1685 3983  8605    00000930
12-06 INDIANA         EAST  CENTRAL                 .0717 4003  8513    00000940
12-07 INDIANA         SOUTH WEST                    .1385 3849  8717    00000950
12-08 INDIANA         SOUTH CENTRAL                 .1094 3866  8628    00000960
12-09 INDIANA         SOUTH EAST                    .0766 3893  8531    00000970
13-00 IOWA                    056043     247  056290                    00000980
13-01 IOWA            NORTH WEST                    .1217 4301  9566    00000990
13-02 IOWA            NORTH CENTRAL                 .1083 4304  9348    00001000
13-03 IOWA            NORTH EAST                    .1172 4288  9178    00001010
13-04 IOWA            WEST  CENTRAL                 .1309 4204  9515    00001020
13-05 IOWA                  CENTRAL                 .1307 4208  9328    00001030
13-06 IOWA            EAST  CENTRAL                 .1077 4190  9122    00001040
13-07 IOWA            SOUTH WEST                    .0887 4110  9512    00001050
13-08 IOWA            SOUTH CENTRAL                 .0991 4103  9356    00001060
13-09 IOWA            SOUTH EAST                    .0957 4108  9187    00001070
14-00 KANSAS                  082256     208   82264                    00001080
14-01 KANSAS          NORTH WEST                    .0951 3956 10075    00001090
14-02 KANSAS          NORTH CENTRAL                 .1086 3954  9818    00001100
14-03 KANSAS          NORTH EAST                    .0767 3950  9586    00001110
14-04 KANSAS          WEST  CENTRAL                 .0973 3873 10075    00001120
14-05 KANSAS                CENTRAL                 .1094 3864  9818    00001130
14-06 KANSAS          EAST  CENTRAL                 .1065 3856  9567    00001140
14-07 KANSAS          SOUTH WEST                    .1442 3765 10075    00001150
14-08 KANSAS          SOUTH CENTRAL                 .1364 3761  9845    00001160
14-09 KANSAS          SOUTH EAST                    .1258 3752  9595    00001170
15-00 KENTUCKY                039851     544  040395                    00001180
15-01 KENTUCKY        WESTERN                       .2438 3707  8764    00001190
15-02 KENTUCKY        CENTRAL                       .2271 3727  8586    00001200
15-03 KENTUCKY        BLUE  GRASS                   .2120 3819  8455    00001210
15-04 KENTUCKY        EASTERN                       .3171 3739  8336    00001220
16-00 LOUISIANA               045155    3368  048523                    00001230
16-01 LOUISIANA       NORTH WEST                    .0811 3245  9356    00001240
16-02 LOUISIANA       NORTH CENTRAL                 .1260 3242  9259    00001250
16-03 LOUISIANA       NORTH EAST                    .0907 3242  9150    00001260
16-04 LOUISIANA       WEST  CENTRAL                 .0815 3145  9322    00001270
16-05 LOUISIANA             CENTRAL                 .1608 3122  9211    00001280
16-06 LOUISIANA       EAST  CENTRAL                 .1061 3054  9056    00001290
16-07 LOUISIANA       SOUTH WEST                    .1563 3027  9287    00001300
16-08 LOUISIANA       SOUTH CENTRAL                 .0705 2998  9154    00001310
16-09 LOUISIANA       SOUTH EAST                    .1270 2973  9031    00001320
17-00 MAINE                   030933    2282  033215                    00001330
17-01 MAINE           NORTHERN                      .5394 4600  6923    00001340
17-02 MAINE           SOUTHERN INTERIOR             .3103 4463  6923    00001350
17-03 MAINE           COASTAL                       .1503 4418  6923    00001360
18-00 MARYLAND                  9891     686   10577                    00001370
18-01 MARYLAND        SOUTH    EASTERN              .1210 3819  7540    00001380
18-02 MARYLAND        CENTRAL  EASTERN SHORE        .1194 3863  7593    00001390
18-03 MARYLAND        LOWER   SOUTHERN              .1057 3843  7669    00001400
18-04 MARYLAND        UPPER   SOUTHERN              .0914 3893  7668    00001410
18-05 MARYLAND        NORTH    EASTERN SHORE        .0665 3914  7603    00001420
18-06 MARYLAND        NORTHEN  CENTRAL              .3390 3941  7681    00001430
18-07 MARYLAND        APPALACHIAN MOUNTAIN          .0899 3970  7818    00001440
18-08 MARYLAND        ALLEGHENY  PLATEAU            .0671 3953  7923    00001450
19-00 MASSACHUSETTS             7833     424    8257                    00001460
19-01 MASSACHUSETTS   WESTERN                       .1911 4237  7309    00001470
19-02 MASSACHUSETTS   CENTRAL                       .5107 4235  7192    00001480
19-03 MASSACHUSETTS   COASTAL                       .2982 4186  7081    00001490
20-00 MICHIGAN                 56818    1398   58216                    00001500
20-01 MICHIGAN                 WEST UPPER           .1708 4635  8825    00001510
20-02 MICHIGAN                 EAST UPPER           .1193 4615  8578    00001520
20-03 MICHIGAN           NORTH WEST LOWER           .0830 4466  8539    00001530
20-04 MICHIGAN           NORTH EAST LOWER           .1136 4481  8407    00001540
20-05 MICHIGAN         WEST CENTRAL LOWER           .0519 4366  8595    00001550
20-06 MICHIGAN              CENTRAL LOWER           .0805 4366  8485    00001560
20-07 MICHIGAN         EAST CENTRAL LOWER           .0741 4347  8336    00001570
20-08 MICHIGAN        SOUTH    WEST LOWER           .0789 4242  8584    00001580
20-09 MICHIGAN        SOUTH CENTRAL LOWER           .1121 4242  8472    00001590
20-10 MICHIGAN        SOUTH    EAST LOWER           .1158 4242  8339    00001600
21-00 MINNESOTA                79289    4779   84068                    00001610
21-01 MINNESOTA       NORTH WEST                    .1562 4776  9603    00001620
21-02 MINNESOTA       NORTH CENTRAL                 .1575 4759  9415    00001630
21-03 MINNESOTA       NORTH EAST                    .1227 4763  9200    00001640
21-04 MINNESOTA       WEST  CENTRAL                 .1142 4570  9586    00001650
21-05 MINNESOTA             CENTRAL                 .1212 4535  9443    00001660
21-06 MINNESOTA       EAST  CENTRAL                 .1074 4606  9325    00001670
21-07 MINNESOTA       SOUTH WEST                    .0729 4405  9561    00001680
21-08 MINNESOTA       SOUTH CENTRAL                 .0768 4396  9395    00001690
21-09 MINNESOTA       SOUTH EAST                    .0711 4397  9232    00001700
22-00 MISSISSIPPI              47358     358   47716                    00001710
22-01 MISSISSIPPI     UPPER DELTA                   .0635 3404  9048    00001720
22-02 MISSISSIPPI     NORTH CENTRAL                 .1004 3431  8963    00001730
22-03 MISSISSIPPI     NORTH EAST                    .0774 3450  8860    00001740
22-04 MISSISSIPPI     LOWER DELTA                   .0891 3311  9066    00001750
22-05 MISSISSIPPI           CENTRAL                 .1295 3291  8969    00001760
22-06 MISSISSIPPI     EAST  CENTRAL                 .1117 3333  8871    00001770
22-07 MISSISSIPPI     SOUTH WEST                    .1322 3172  9076    00001780
22-08 MISSISSIPPI     SOUTH CENTRAL                 .0922 3154  8981    00001790
22-09 MISSISSIPPI     SOUTH EAST                    .1284 3174  8884    00001800
22-10 MISSISSIPPI           COASTAL                 .0756 3065  8901    00001810
23-00 MISSOURI                 69046     640   69686                    00001820
23-01 MISSOURI        NORTH WEST    PRAIRE          .2110 3974  9387    00001830
23-02 MISSOURI        NORTH EAST    PRAIRE          .2008 3926  9169    00001840
